,Average_FE1,Average_FE2,Average_FE3,Average_FE4,x
0,61138.5,28466.126336515787,3367.010568696527,6037.634230661608,0.125
1,50915.0,21557.68482267555,2366.3010015551536,3638.467070048171,0.4963
2,43573.5,16603.103464065753,1656.73045969976,2294.573305210963,0.6894
3,38540.974,12829.435400783022,1237.3838357733675,1426.8392120521007,0.9911
4,30619.0,9871.671589165922,905.7896598158299,822.609422999967,1.2954
